NO,MEDV,RM
0,24,6.575
1,21.6,6.421
2,34.7,7.185
3,33.4,6.998
4,36.2,7.147
5,28.7,6.43
6,22.9,6.012
7,27.1,6.172
8,16.5,5.631
9,18.9,6.004
10,15,6.377
11,18.9,6.009
12,21.7,5.889
13,20.4,5.949
14,18.2,6.096
15,19.9,5.834
16,23.1,5.935
17,17.5,5.99
18,20.2,5.456
19,18.2,5.727
20,13.6,5.57
21,19.6,5.965
22,15.2,6.142
23,14.5,5.813
24,15.6,5.924
25,13.9,5.599
26,16.6,5.813
27,14.8,6.047
28,18.4,6.495
29,21,6.674
30,12.7,5.713
31,14.5,6.072
32,13.2,5.95
33,13.1,5.701
34,13.5,6.096
35,18.9,5.933
36,20,5.841
37,21,5.85
38,24.7,5.966
39,30.8,6.595
40,34.9,7.024
41,26.6,6.77
42,25.3,6.169
43,24.7,6.211
44,21.2,6.069
45,19.3,5.682
46,20,5.786
47,16.6,6.03
48,14.4,5.399
49,19.4,5.602
50,19.7,5.963
51,20.5,6.115
52,25,6.511
53,23.4,5.998
54,18.9,5.888
55,35.4,7.249
56,24.7,6.383
57,31.6,6.816
58,23.3,6.145
59,19.6,5.927
60,18.7,5.741
61,16,5.966
62,22.2,6.456
63,25,6.762
64,33,7.104
65,23.5,6.29
66,19.4,5.787
67,22,5.878
68,17.4,5.594
69,20.9,5.885
70,24.2,6.417
71,21.7,5.961
72,22.8,6.065
73,23.4,6.245
74,24.1,6.273
75,21.4,6.286
76,20,6.279
77,20.8,6.14
78,21.2,6.232
79,20.3,5.874
80,28,6.727
81,23.9,6.619
82,24.8,6.302
83,22.9,6.167
84,23.9,6.389
85,26.6,6.63
86,22.5,6.015
87,22.2,6.121
88,23.6,7.007
89,28.7,7.079
90,22.6,6.417
91,22,6.405
92,22.9,6.442
93,25,6.211
94,20.6,6.249
95,28.4,6.625
96,21.4,6.163
97,38.7,8.069
98,43.8,7.82
99,33.2,7.416
100,27.5,6.727
101,26.5,6.781
102,18.6,6.405
103,19.3,6.137
104,20.1,6.167
105,19.5,5.851
106,19.5,5.836
107,20.4,6.127
108,19.8,6.474
109,19.4,6.229
110,21.7,6.195
111,22.8,6.715
112,18.8,5.913
113,18.7,6.092
